日付,区コード,区,保留児童数,利用児童数,申請者数_利用と保留の和,保留割合_パーセント,前年保留割合_パーセント,市全体との比較
2026-04-01,141011,鶴見区,132,6599,6731,1.961076,2.174865,低め
2026-04-01,141020,神奈川区,152,5081,5233,2.904644,3.234960,近い
2026-04-01,141038,西区,70,2022,2092,3.346080,3.362152,近い
2026-04-01,141046,中区,42,1963,2005,2.094763,3.712406,低め
2026-04-01,141054,南区,125,3144,3269,3.823799,4.825090,近い
2026-04-01,141119,港南区,109,3876,3985,2.735257,4.205257,低め
2026-04-01,141062,保土ケ谷区,138,3732,3870,3.565891,4.008329,近い
2026-04-01,141127,旭区,188,4296,4484,4.192685,5.456570,高め
2026-04-01,141071,磯子区,75,3024,3099,2.420136,3.873016,低め
2026-04-01,141089,金沢区,88,3004,3092,2.846054,4.481277,近い
2026-04-01,141097,港北区,312,9392,9704,3.215169,3.219192,近い
2026-04-01,141135,緑区,100,3415,3515,2.844950,4.180328,近い
2026-04-01,141178,青葉区,213,5009,5222,4.078897,4.361016,近い
2026-04-01,141186,都筑区,130,3944,4074,3.190967,3.346880,近い
2026-04-01,141101,戸塚区,226,6059,6285,3.595863,4.111789,近い
2026-04-01,141151,栄区,110,2024,2134,5.154639,6.038992,高め
2026-04-01,141160,泉区,180,2774,2954,6.093433,6.130268,高め
2026-04-01,141143,瀬谷区,142,1944,2086,6.807287,6.377799,高め
