年（和暦）,年（西暦）,行政区,出典,世帯・人口の別,世帯数・人口
大正９,1920,全市,第１回国勢調査,世帯数,95243
大正９,1920,全市,第１回国勢調査,人口,422938
大正14,1925,全市,第２回国勢調査,世帯数,95377
大正14,1925,全市,第２回国勢調査,人口,405888
昭和５,1930,全市,第３回国勢調査,世帯数,135929
昭和５,1930,全市,第３回国勢調査,人口,620306
昭和５,1930,鶴見区,第３回国勢調査,世帯数,17581
昭和５,1930,鶴見区,第３回国勢調査,人口,81210
昭和５,1930,神奈川区,第３回国勢調査,世帯数,28668
昭和５,1930,神奈川区,第３回国勢調査,人口,133777
昭和５,1930,中区,第３回国勢調査,世帯数,73167
昭和５,1930,中区,第３回国勢調査,人口,329678
昭和５,1930,保土ケ谷区,第３回国勢調査,世帯数,8752
昭和５,1930,保土ケ谷区,第３回国勢調査,人口,41557
昭和５,1930,磯子区,第３回国勢調査,世帯数,7761
昭和５,1930,磯子区,第３回国勢調査,人口,34084
昭和10,1935,全市,第４回国勢調査,世帯数,148545
昭和10,1935,全市,第４回国勢調査,人口,704290
昭和10,1935,鶴見区,第４回国勢調査,世帯数,23357
昭和10,1935,鶴見区,第４回国勢調査,人口,113963
昭和10,1935,神奈川区,第４回国勢調査,世帯数,32024
昭和10,1935,神奈川区,第４回国勢調査,人口,155908
昭和10,1935,中区,第４回国勢調査,世帯数,75372
昭和10,1935,中区,第４回国勢調査,人口,348941
昭和10,1935,保土ケ谷区,第４回国勢調査,世帯数,9578
昭和10,1935,保土ケ谷区,第４回国勢調査,人口,47642
昭和10,1935,磯子区,第４回国勢調査,世帯数,8214
昭和10,1935,磯子区,第４回国勢調査,人口,37836
昭和15,1940,全市,第５回国勢調査,世帯数,198415
昭和15,1940,全市,第５回国勢調査,人口,968091
昭和15,1940,鶴見区,第５回国勢調査,世帯数,33849
昭和15,1940,鶴見区,第５回国勢調査,人口,172587
昭和15,1940,神奈川区,第５回国勢調査,世帯数,34843
昭和15,1940,神奈川区,第５回国勢調査,人口,169408
昭和15,1940,中区,第５回国勢調査,世帯数,84221
昭和15,1940,中区,第５回国勢調査,人口,386020
昭和15,1940,保土ケ谷区,第５回国勢調査,世帯数,12419
昭和15,1940,保土ケ谷区,第５回国勢調査,人口,63981
昭和15,1940,磯子区,第５回国勢調査,世帯数,15908
昭和15,1940,磯子区,第５回国勢調査,人口,76966
昭和15,1940,港北区,第５回国勢調査,世帯数,10021
昭和15,1940,港北区,第５回国勢調査,人口,56432
昭和15,1940,戸塚区,第５回国勢調査,世帯数,7154
昭和15,1940,戸塚区,第５回国勢調査,人口,42697
昭和22,1947,全市,第６回国勢調査,世帯数,177892
昭和22,1947,全市,第６回国勢調査,人口,814379
昭和22,1947,鶴見区,第６回国勢調査,世帯数,30799
昭和22,1947,鶴見区,第６回国勢調査,人口,142427
昭和22,1947,神奈川区,第６回国勢調査,世帯数,19035
昭和22,1947,神奈川区,第６回国勢調査,人口,85456
昭和22,1947,西区,第６回国勢調査,世帯数,15009
昭和22,1947,西区,第６回国勢調査,人口,66442
昭和22,1947,中区,第６回国勢調査,世帯数,17770
昭和22,1947,中区,第６回国勢調査,人口,77014
昭和22,1947,南区,第６回国勢調査,世帯数,27396
昭和22,1947,南区,第６回国勢調査,人口,118578
昭和22,1947,保土ケ谷区,第６回国勢調査,世帯数,13520
昭和22,1947,保土ケ谷区,第６回国勢調査,人口,64778
昭和22,1947,磯子区,第６回国勢調査,世帯数,24650
昭和22,1947,磯子区,第６回国勢調査,人口,106396
昭和22,1947,港北区,第６回国勢調査,世帯数,17275
昭和22,1947,港北区,第６回国勢調査,人口,87958
昭和22,1947,戸塚区,第６回国勢調査,世帯数,12438
昭和22,1947,戸塚区,第６回国勢調査,人口,65330
昭和25,1950,全市,第７回国勢調査,世帯数,210454
昭和25,1950,全市,第７回国勢調査,人口,951189
昭和25,1950,鶴見区,第７回国勢調査,世帯数,38100
昭和25,1950,鶴見区,第７回国勢調査,人口,170868
昭和25,1950,神奈川区,第７回国勢調査,世帯数,24077
昭和25,1950,神奈川区,第７回国勢調査,人口,107068
昭和25,1950,西区,第７回国勢調査,世帯数,19961
昭和25,1950,西区,第７回国勢調査,人口,85292
昭和25,1950,中区,第７回国勢調査,世帯数,21389
昭和25,1950,中区,第７回国勢調査,人口,89813
昭和25,1950,南区,第７回国勢調査,世帯数,32117
昭和25,1950,南区,第７回国勢調査,人口,142763
昭和25,1950,保土ケ谷区,第７回国勢調査,世帯数,15685
昭和25,1950,保土ケ谷区,第７回国勢調査,人口,74156
昭和25,1950,磯子区,第７回国勢調査,世帯数,14515
昭和25,1950,磯子区,第７回国勢調査,人口,62343
昭和25,1950,金沢区,第７回国勢調査,世帯数,12783
昭和25,1950,金沢区,第７回国勢調査,人口,56040
昭和25,1950,港北区,第７回国勢調査,世帯数,18486
昭和25,1950,港北区,第７回国勢調査,人口,93421
昭和25,1950,戸塚区,第７回国勢調査,世帯数,13341
昭和25,1950,戸塚区,第７回国勢調査,人口,69425
昭和30,1955,全市,第８回国勢調査,世帯数,255833
昭和30,1955,全市,第８回国勢調査,人口,1143687
昭和30,1955,鶴見区,第８回国勢調査,世帯数,45118
昭和30,1955,鶴見区,第８回国勢調査,人口,201028
