年月日,全国地方公共団体コード,市区名,面積［平方キロメートル］,世帯数［世帯］,人口総数［人］,男［人］,女［人］,１世帯当たり人員［人］,人口密度［人／平方キロメートル］,届出による前月比増減の世帯数［世帯］,届出による前月比増減の人口［人］
2026/9/1,141003,横浜市,438.23,1811326,3757388,1849895,1907493,2.07,8574.009082,-585,-503
2026/9/1,141011,鶴見区,33.21,150619,298235,153734,144501,1.98,8980.277025,-2,10
2026/9/1,141020,神奈川区,23.73,137590,254336,128971,125365,1.85,10717.90982,-10,88
2026/9/1,141038,西区,7.03,61623,108553,54431,54122,1.76,15441.39403,-84,-46
2026/9/1,141046,中区,22.01,90710,154496,78987,75509,1.7,7019.354839,-45,58
2026/9/1,141054,南区,12.65,109660,198847,98753,100094,1.81,15719.13043,-52,-63
2026/9/1,141119,港南区,19.9,95801,208539,100932,107607,2.18,10479.34673,-68,-156
2026/9/1,141062,保土ケ谷区,21.93,100725,203633,99879,103754,2.02,9285.590515,-51,-113
2026/9/1,141127,旭区,32.73,108747,239304,115144,124160,2.2,7311.457379,-42,-98
2026/9/1,141071,磯子区,19.02,78941,163626,80455,83171,2.07,8602.839117,-22,-69
2026/9/1,141089,金沢区,30.95,90848,191737,93053,98684,2.11,6195.056543,-23,-88
2026/9/1,141097,港北区,31.4,181842,365516,181761,183755,2.01,11640.63694,-160,75
2026/9/1,141135,緑区,25.51,81699,179988,87918,92070,2.2,7055.586045,-10,13
2026/9/1,141178,青葉区,35.22,136393,307343,148167,159176,2.25,8726.377058,1,-38
2026/9/1,141186,都筑区,27.87,89101,213563,103935,109628,2.4,7662.827413,38,57
2026/9/1,141101,戸塚区,35.79,124743,281058,136292,144766,2.25,7852.975692,-43,-40
2026/9/1,141151,栄区,18.52,53652,118688,57293,61395,2.21,6408.639309,-27,-10
2026/9/1,141160,泉区,23.58,64524,149833,72223,77610,2.32,6354.240882,11,-52
2026/9/1,141143,瀬谷区,17.17,54108,120093,57967,62126,2.22,6994.350612,4,-31
