年（和暦）,年（西暦）,月,年月日,全国地方公共団体コード,市区名,項目,単位,値
平成26,2014,6,2014/06/01,141003,横浜市,面積,平方キロメートル,435.21
平成26,2014,6,2014/06/01,141003,横浜市,世帯数,世帯,1629796
平成26,2014,6,2014/06/01,141003,横浜市,人口総数,人,3708966
平成26,2014,6,2014/06/01,141003,横浜市,男,人,1850623
平成26,2014,6,2014/06/01,141003,横浜市,女,人,1858343
平成26,2014,6,2014/06/01,141003,横浜市,１世帯当たり人員,人,2.28
平成26,2014,6,2014/06/01,141003,横浜市,人口密度,人/平方キロメートル,8522
平成26,2014,6,2014/06/01,141003,横浜市,届出による前月比増減の世帯数,世帯,916
平成26,2014,6,2014/06/01,141003,横浜市,届出による前月比増減の人口,人,844
平成26,2014,6,2014/06/01,141011,鶴見区,面積,平方キロメートル,32.38
平成26,2014,6,2014/06/01,141011,鶴見区,世帯数,世帯,130535
平成26,2014,6,2014/06/01,141011,鶴見区,人口総数,人,281336
平成26,2014,6,2014/06/01,141011,鶴見区,男,人,145674
平成26,2014,6,2014/06/01,141011,鶴見区,女,人,135662
平成26,2014,6,2014/06/01,141011,鶴見区,１世帯当たり人員,人,2.16
平成26,2014,6,2014/06/01,141011,鶴見区,人口密度,人/平方キロメートル,8689
平成26,2014,6,2014/06/01,141011,鶴見区,届出による前月比増減の世帯数,世帯,116
平成26,2014,6,2014/06/01,141011,鶴見区,届出による前月比増減の人口,人,168
平成26,2014,6,2014/06/01,141020,神奈川区,面積,平方キロメートル,23.59
平成26,2014,6,2014/06/01,141020,神奈川区,世帯数,世帯,116915
平成26,2014,6,2014/06/01,141020,神奈川区,人口総数,人,235426
平成26,2014,6,2014/06/01,141020,神奈川区,男,人,119691
平成26,2014,6,2014/06/01,141020,神奈川区,女,人,115735
平成26,2014,6,2014/06/01,141020,神奈川区,１世帯当たり人員,人,2.01
平成26,2014,6,2014/06/01,141020,神奈川区,人口密度,人/平方キロメートル,9980
平成26,2014,6,2014/06/01,141020,神奈川区,届出による前月比増減の世帯数,世帯,166
平成26,2014,6,2014/06/01,141020,神奈川区,届出による前月比増減の人口,人,242
平成26,2014,6,2014/06/01,141038,西区,面積,平方キロメートル,6.98
平成26,2014,6,2014/06/01,141038,西区,世帯数,世帯,51256
平成26,2014,6,2014/06/01,141038,西区,人口総数,人,97689
平成26,2014,6,2014/06/01,141038,西区,男,人,49631
平成26,2014,6,2014/06/01,141038,西区,女,人,48058
平成26,2014,6,2014/06/01,141038,西区,１世帯当たり人員,人,1.91
平成26,2014,6,2014/06/01,141038,西区,人口密度,人/平方キロメートル,13996
平成26,2014,6,2014/06/01,141038,西区,届出による前月比増減の世帯数,世帯,14
平成26,2014,6,2014/06/01,141038,西区,届出による前月比増減の人口,人,93
平成26,2014,6,2014/06/01,141046,中区,面積,平方キロメートル,20.85
平成26,2014,6,2014/06/01,141046,中区,世帯数,世帯,77267
平成26,2014,6,2014/06/01,141046,中区,人口総数,人,147176
平成26,2014,6,2014/06/01,141046,中区,男,人,77384
